producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
100 Avisos Destacado Combo ZonaDemand,0,100,0,20156,47537.6,55143.62,20162,285225.6,330861.7,20168,570451.2,661723.39
Aviso Superdestacado Combo ZonaDemand,0,0,1,20169,4730.4,6706.66,20175,34689.6,40239.94,20181,69379.2,80479.87
5 Avisos Superdestacado Combo ZonaDemand,0,0,5,20170,10890,12632.4,20176,65340,75794.4,20182,130680,151588.8
10 Avisos Superdestacado Combo ZonaDemand,0,0,10,20171,20109.1,23326.56,20177,120654.6,139959.34,20183,241309.2,279918.67
25 Avisos Superdestacado Combo ZonaDemand,0,0,25,20172,41869.3,48568.39,20178,251215.8,291410.33,20184,502431.6,582820.66
50 Avisos Superdestacado Combo ZonaDemand,0,0,50,20173,55070.4,63881.66,20179,330422.4,383289.98,20185,660844.8,766579.97
100 Avisos Superdestacado Combo ZonaDemand,0,0,100,20174,73121.4,84820.82,20180,438728.4,508924.94,20186,877456.8,1017849.89
Pack 10 Esencial_5SS+5S Combo Mensual,5,0,0,20762,2721.6,3157.06,-,-,-,-,-,-
Pack 15 Esencial_10SS+5S Combo Mensual,10,0,0,20763,3351.6,3887.86,-,-,-,-,-,-
Pack 30 Esencial_20SS+10S Combo Mensual,10,0,0,20764,5717,6631.72,-,-,-,-,-,-
300 Avisos Subsimple Combo Mensual,0,0,0,8849,15000,17400,-,-,-,-,-,-

Pack 50 Esencial_35SS+15S Combo Mensual,15,0,0,20765,7010,8131.6,-,-,-,-,-,-
